# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (km),Position North of launch (km),Lateral distance (km),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.5436,0,8.5436,0,0,0,0,0,0.0014911,43.796,-120.65,9.8008,89.99,0,0,0,34.989,8.7035,54.266,0.10337,NaN,2.509,NaN,0.0076084,544783,43.988,0,0.74082,0,0.54477,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0023574
2e-3,0,0,-6.0292,0,6.0292,0,0,0,0,0,0.0010523,43.796,-120.65,9.8008,89.99,0,0,0,34.989,8.7035,54.266,0.10337,NaN,2.509,NaN,0.0076212,545699,131.97,0,0.74063,0,0.54458,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0035523
4e-3,0,0,-3.5146,0,3.5146,0,0,0,0,0,6.1341e-4,43.796,-120.65,9.8008,89.99,0,0,0,34.988,8.7025,54.266,0.10337,NaN,2.509,NaN,0.0076339,546614,219.94,0,0.74043,0,0.54439,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0049615
6e-3,0,0,-0.99985,0,0.99985,0,0,0,0,0,1.7451e-4,43.796,-120.65,9.8008,89.99,0,0,0,34.987,8.7016,54.265,0.10337,NaN,2.5089,NaN,0.0076467,547530,307.92,0,0.74024,0,0.5442,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.006341
8e-3,0,0,1.515,0,1.515,0,0,0,0,0,2.6442e-4,43.796,-120.65,9.8008,89.99,0,0,0,34.986,8.7006,54.265,0.10337,NaN,2.5089,NaN,0.0076595,548445,395.9,0,0.74005,0,0.544,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0075848
0.01,0,0.0030306,4.0301,0.0030306,4.0301,0,0,0,0,5.2894e-7,7.0338e-4,43.796,-120.65,9.8008,89.922,0,0,0,34.985,8.6996,54.264,0.10337,NaN,2.5089,NaN,0.0076723,549361,483.87,0,0.73986,0,0.54381,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1903e-7,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0088978
0.012,1.7152e-8,0.011091,6.5452,0.011091,6.5452,0,0,0,0,1.9358e-6,0.0011424,43.796,-120.65,9.8008,89.743,0,0,0,34.984,8.6986,54.264,0.10336,NaN,2.5089,NaN,0.0076852,550282,571.85,9.0826e-9,0.73967,1.6719e-7,0.54362,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1676e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.010475
0.014,5.2426e-8,0.024183,9.0605,0.024183,9.0605,0,0,0,0,4.2206e-6,0.0015814,43.796,-120.65,9.8008,89.453,0,0,0,34.983,8.6976,54.263,0.10336,NaN,2.5089,NaN,0.0076982,551217,659.83,8.7885e-8,0.73947,1.6123e-6,0.54343,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5457e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.01167
0.016,1.1891e-7,0.042304,11.576,0.042304,11.576,0,0,0,0,7.3835e-6,0.0020204,43.796,-120.65,9.8008,89.051,0,0,0,34.982,8.6967,54.263,0.10336,NaN,2.5089,NaN,0.0077117,552183,747.8,4.5679e-7,0.73927,8.3508e-6,0.54322,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4534e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.012777
0.018,2.2667e-7,0.065457,14.092,0.065457,14.092,0,0,0,0,1.1424e-5,0.0024594,43.796,-120.65,9.8008,88.54,0,0,0,34.981,8.6957,54.262,0.10336,NaN,2.5088,NaN,0.007726,553202,835.78,1.6612e-6,0.73906,3.0258e-5,0.54301,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8907e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.014099
0.02,3.8577e-7,0.093642,16.607,0.093642,16.607,0,0,0,0,1.6344e-5,0.0028985,43.796,-120.65,9.8008,87.92,0,0,0,34.98,8.6947,54.262,0.10336,NaN,2.5088,NaN,0.0077413,554303,923.76,4.793e-6,0.73883,8.6955e-5,0.54279,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8576e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.015021
0.022,6.0627e-7,0.12686,19.123,0.12686,19.123,0,0,0,0,2.2141e-5,0.0033376,43.796,-120.65,9.8008,87.192,0,0,0,34.979,8.6937,54.261,0.10336,NaN,2.5088,NaN,0.0077583,555521,1011.7,1.1758e-5,0.73858,2.1237e-4,0.54254,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3354e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.015937
0.024,8.9823e-7,0.1651,21.639,0.1651,21.639,0,0,0,0,2.8816e-5,0.0037767,43.796,-120.65,9.8008,86.356,0,0,0,34.978,8.6928,54.26,0.10336,NaN,2.5088,NaN,0.0077775,556895,1099.7,2.5577e-5,0.7383,4.597e-4,0.54225,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7381e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.016871
0.026,1.2717e-6,0.20838,24.155,0.20838,24.155,0,0,0,0,3.637e-5,0.0042159,43.796,-120.65,9.8008,85.414,0,0,0,34.977,8.6918,54.26,0.10336,NaN,2.5088,NaN,0.0077996,558472,1187.7,5.0715e-5,0.73798,9.0637e-4,0.54193,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1937e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.017917
0.028,1.7368e-6,0.2567,26.672,0.2567,26.672,0,0,0,0,4.4802e-5,0.0046551,43.796,-120.65,9.8008,84.369,0,0,0,34.976,8.6908,54.259,0.10335,NaN,2.5087,NaN,0.0078251,560303,1275.7,9.3413e-5,0.7376,0.0016586,0.54156,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7022e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.019438
0.03,2.3035e-6,0.31004,29.188,0.31004,29.188,0,0,0,0,5.4112e-5,0.0050943,43.796,-120.65,9.8008,83.222,0,0,0,34.975,8.6898,54.259,0.10335,NaN,2.5087,NaN,0.0078551,562446,1363.6,1.6202e-4,0.73717,0.0028549,0.54112,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2638e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.020996
0.032,2.982e-6,0.36842,31.705,0.36842,31.705,0,0,0,0,6.4301e-5,0.0055335,43.796,-120.65,9.8008,81.976,0,0,0,34.974,8.6889,54.258,0.10335,NaN,2.5087,NaN,0.0078902,564962,1451.6,2.6731e-4,0.73666,0.0046682,0.54061,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8784e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.023266
0.034,3.7823e-6,0.43183,34.221,0.43183,34.221,0,0,0,0,7.5369e-5,0.0059727,43.796,-120.65,9.8008,80.634,0,0,0,34.973,8.6879,54.258,0.10335,NaN,2.5087,NaN,0.0079315,567917,1539.6,4.2271e-4,0.73607,0.0073055,0.54002,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5459e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.025721
0.036,4.7144e-6,0.50028,36.738,0.50028,36.738,0,0,0,0,8.7314e-5,0.006412,43.796,-120.65,9.8008,79.201,0,0,0,34.972,8.6869,54.257,0.10335,NaN,2.5087,NaN,0.0079798,571380,1627.6,6.4458e-4,0.73538,0.011005,0.53933,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2664e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.02757
0.038,5.7884e-6,0.57375,39.341,0.57375,39.341,0,0,0,0,1.0014e-4,0.0068663,43.796,-120.65,9.8008,77.682,0,0,0,34.971,8.6859,54.257,0.10335,NaN,2.5086,NaN,0.0080363,575425,1718.6,9.5231e-4,0.73458,0.016032,0.53853,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0399e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.029156
0.04,7.0146e-6,0.65244,42.46,0.65244,42.46,0,0,0,0,1.1387e-4,0.0074107,43.796,-120.65,9.8008,76.077,0,0,0,34.97,8.6845,54.256,0.10335,NaN,2.5086,NaN,0.0081021,580136,1827.6,0.0013694,0.73366,0.02268,0.53761,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8682e-5,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.030263
0.042,8.4044e-6,0.73736,45.667,0.73736,45.667,0,0,0,0,1.2869e-4,0.0079704,43.796,-120.65,9.8008,74.375,0,0,0,34.968,8.6824,54.255,0.10334,NaN,2.5086,NaN,0.0081791,585651,1939.6,0.0019297,0.7326,0.031362,0.53655,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7622e-5,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.031116
0.044,9.9704e-6,0.82871,48.875,0.82871,48.875,0,0,0,0,1.4464e-4,0.0085303,43.796,-120.65,9.8008,72.578,0,0,0,34.965,8.6798,54.254,0.10334,NaN,2.5085,NaN,0.008269,592084,2051.6,0.0026692,0.73137,0.042442,0.53532,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7238e-5,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.031961
0.046,1.1726e-5,0.92646,52.083,0.92646,52.083,0,0,0,0,1.617e-4,0.0090902,43.796,-120.65,9.8008,70.698,0,0,0,34.962,8.6772,54.252,0.10334,NaN,2.5085,NaN,0.0083731,599538,2163.6,0.0036274,0.72997,0.056252,0.53392,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7529e-5,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.03289
0.048,1.3683e-5,1.0306,55.292,1.0306,55.292,0,0,0,0,1.7988e-4,0.0096502,43.796,-120.65,9.8008,68.746,0,0,0,34.96,8.6746,54.251,0.10334,NaN,2.5084,NaN,0.0084929,608116,2275.6,0.0048476,0.72839,0.073068,0.53234,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.085e-4,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.033725
0.05,1.5855e-5,1.1412,58.501,1.1412,58.501,0,0,0,0,1.9918e-4,0.01021,43.796,-120.65,9.8008,66.733,0,0,0,34.957,8.672,54.249,0.10333,NaN,2.5084,NaN,0.0086298,617922,2387.7,0.0063769,0.72662,0.093093,0.53057,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2014e-4,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.034542
0.052,1.8254e-5,1.2582,61.711,1.2582,61.711,0,0,0,0,2.196e-4,0.010771,43.796,-120.65,9.8008,64.658,0,0,0,34.955,8.6694,54.248,0.10333,NaN,2.5083,NaN,0.0087807,628721,2499.7,0.0082694,0.72471,0.11661,0.52866,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3245e-4,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.035335
# Event LIFTOFF occurred at t=0.054 seconds
0.054,2.0894e-5,1.3817,64.921,1.3817,64.921,0,0,0,0,2.4115e-4,0.011331,43.796,-120.65,9.8008,62.547,0,0,0,34.952,8.6668,54.247,0.10333,NaN,2.5083,NaN,0.0089514,640947,2611.7,0.010575,0.7226,0.14349,0.52655,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4545e-4,0.1397,0.015328,89.99,0,NaN,5.9649,857.26,334.91,2e-3,0.036206
0.056,2.3787e-5,1.5115,68.131,1.5115,68.131,0,0,0,0,2.6381e-4,0.011891,43.796,-120.65,9.8008,60.412,0,0,0,34.949,8.6642,54.245,0.10332,NaN,2.5082,NaN,0.0091433,654688,2723.7,0.013347,0.72029,0.17358,0.52424,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5912e-4,0.1397,0.015328,89.99,0,NaN,5.9648,857.26,334.91,2e-3,0.037034
0.058,2.6946e-5,1.6478,70.999,1.6478,70.999,0,0,0,0,2.8759e-4,0.012392,43.796,-120.65,9.8008,58.269,0,0,0,34.947,8.6616,54.244,0.10332,NaN,2.5082,NaN,0.0093574,670020,2823.7,0.01664,0.71779,0.20661,0.52173,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7346e-4,0.1397,0.015328,89.99,0,NaN,5.9648,857.26,334.91,2e-3,0.038034
0.06,3.0384e-5,1.7898,71.804,1.7898,71.804,5.303e-9,0,5.303e-9,0,3.1238e-4,0.012532,43.796,-120.65,9.8008,56.138,0,0,0,34.944,8.6588,54.242,0.10332,NaN,2.5081,NaN,0.0095936,686930,2851.6,0.020488,0.71511,0.24202,0.51906,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8841e-4,0.1397,0.015328,89.99,0,NaN,5.9648,857.26,334.91,2e-3,0.038818
0.062,3.4107e-5,1.9334,72.268,1.9334,72.268,5.9528e-9,0,5.9528e-9,0,3.3745e-4,0.012613,43.796,-120.65,9.8008,54.09,0,0,0,34.941,8.6554,54.241,0.10331,NaN,2.5081,NaN,0.0098452,704945,2867.6,0.024807,0.71235,0.27825,0.5163,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0353e-4,0.1397,0.015328,89.99,0,NaN,5.9648,857.26,334.91,2e-3,0.039602
0.064,3.8119e-5,2.078,72.732,2.078,72.732,6.653e-9,0,6.653e-9,0,3.6267e-4,0.012694,43.796,-120.65,9.8008,52.135,0,0,0,34.937,8.6518,54.239,0.10331,NaN,2.508,NaN,0.01011,723937,2883.5,0.02958,0.70955,0.31461,0.51349,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1875e-4,0.1397,0.015328,89.99,0,NaN,5.9648,857.26,334.91,2e-3,0.040379
0.066,4.242e-5,2.2234,73.196,2.2234,73.196,7.4037e-9,0,7.4037e-9,0,3.8806e-4,0.012775,43.796,-120.65,9.8008,50.269,0,0,0,34.934,8.6482,54.237,0.1033,NaN,2.5079,NaN,0.010389,743856,2899.4,0.034805,0.7067,0.35062,0.51065,0.076042,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3406e-4,0.1397,0.015328,89.99,0,NaN,5.9647,857.26,334.91,2e-3,0.041156
0.068,4.7013e-5,2.3699,73.66,2.3699,73.66,8.2054e-9,0,8.2054e-9,0,4.1362e-4,0.012856,43.796,-120.65,9.8008,48.491,0,0,0,34.93,8.6446,54.235,0.1033,NaN,2.5079,NaN,0.010679,764653,2915.3,0.04048,0.70384,0.38591,0.50778,0.076042,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4947e-4,0.1397,0.015328,89.99,0,NaN,5.9647,857.26,334.91,2e-3,0.041944
0.07,5.19e-5,2.5172,74.124,2.5172,74.124,9.0583e-9,0,9.0583e-9,0,4.3933e-4,0.012937,43.796,-120.65,9.8008,46.799,0,0,0,34.926,8.641,54.233,0.10329,NaN,2.5078,NaN,0.010981,786283,2931.2,0.046601,0.70096,0.42016,0.50491,0.076042,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6498e-4,0.1397,0.015328,89.99,0,NaN,5.9647,857.26,334.91,2e-3,0.042715
0.072,5.7083e-5,2.6655,74.589,2.6655,74.589,9.9629e-9,0,9.9629e-9,0,4.6521e-4,0.013018,43.796,-120.65,9.8008,45.188,0,0,0,34.923,8.6374,54.231,0.10329,NaN,2.5077,NaN,0.011294,808702,2947.2,0.053163,0.69809,0.45311,0.50203,0.076042,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8059e-4,0.1397,0.015328,89.99,0,NaN,5.9646,857.25,334.91,2e-3,0.043487
0.074,6.2563e-5,2.8146,75.053,2.8146,75.053,1.0919e-8,0,1.0919e-8,0,4.9125e-4,0.013099,43.796,-120.65,9.8008,43.656,0,0,0,34.919,8.6338,54.229,0.10329,NaN,2.5076,NaN,0.011618,831869,2963.1,0.060159,0.69523,0.48458,0.49917,0.076042,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.963e-4,0.1397,0.015328,89.99,0,NaN,5.9646,857.25,334.91,2e-3,0.044263
0.076,6.8343e-5,2.9648,75.517,2.9648,75.517,1.1928e-8,0,1.1928e-8,0,5.1745e-4,0.01318,43.796,-120.65,9.8008,42.199,0,0,0,34.915,8.6302,54.227,0.10328,NaN,2.5076,NaN,0.011951,855746,2979,0.067583,0.69239,0.51443,0.49633,0.076043,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.121e-4,0.1397,0.015328,89.99,0,NaN,5.9646,857.25,334.91,2e-3,0.045038
0.078,7.4423e-5,3.1158,75.982,3.1158,75.982,1.2989e-8,0,1.2989e-8,0,5.4381e-4,0.013261,43.796,-120.65,9.8008,40.814,0,0,0,34.912,8.6266,54.225,0.10328,NaN,2.5075,NaN,0.012294,880295,2994.9,0.075429,0.68957,0.54257,0.49351,0.076043,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.28e-4,0.1397,0.015328,89.99,0,NaN,5.9645,857.25,334.91,2e-3,0.045949
0.08,8.0807e-5,3.2678,76.447,3.2678,76.447,1.4103e-8,0,1.4103e-8,0,5.7034e-4,0.013342,43.796,-120.65,9.8008,39.496,0,0,0,34.908,8.623,54.223,0.10327,NaN,2.5074,NaN,0.012646,905485,3010.8,0.083691,0.68679,0.56898,0.49073,0.076043,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.44e-4,0.1397,0.015328,89.99,0,NaN,5.9645,857.25,334.91,2e-3,0.046734
0.082,8.7495e-5,3.4207,76.911,3.4207,76.911,1.5271e-8,0,1.5271e-8,0,5.9702e-4,0.013424,43.796,-120.65,9.8008,38.243,0,0,0,34.905,8.6194,54.221,0.10327,NaN,2.5074,NaN,0.013006,931283,3026.8,0.092362,0.68404,0.59362,0.48798,0.076043,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.601e-4,0.1397,0.015328,89.99,0,NaN,5.9644,857.25,334.91,2e-3,0.04751
0.084,9.449e-5,3.5745,77.376,3.5745,77.376,1.6492e-8,0,1.6492e-8,0,6.2387e-4,0.013505,43.796,-120.65,9.8008,37.05,0,0,0,34.901,8.6158,54.219,0.10326,NaN,2.5073,NaN,0.013375,957662,3042.7,0.10144,0.68133,0.61651,0.48526,0.076044,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7629e-4,0.1397,0.015328,89.99,0,NaN,5.9644,857.25,334.91,2e-3,0.048304
0.086,1.0179e-4,3.7293,77.841,3.7293,77.841,1.7766e-8,0,1.7766e-8,0,6.5089e-4,0.013586,43.796,-120.65,9.8008,35.916,0,0,0,34.897,8.6122,54.217,0.10326,NaN,2.5072,NaN,0.013751,984593,3058.6,0.11091,0.67866,0.6377,0.48259,0.076044,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9258e-4,0.1397,0.015328,89.99,0,NaN,5.9643,857.25,334.91,2e-3,0.049167
0.088,1.0941e-4,3.885,78.306,3.885,78.306,1.9095e-8,0,1.9095e-8,0,6.7806e-4,0.013667,43.796,-120.65,9.8008,34.835,0,0,0,34.894,8.6086,54.215,0.10326,NaN,2.5072,NaN,0.014134,1012053,3074.5,0.12077,0.67604,0.65723,0.47997,0.076044,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0897e-4,0.1397,0.015328,89.99,0,NaN,5.9643,857.25,334.91,2e-3,0.049956
0.09,1.1734e-4,4.0416,78.771,4.0416,78.771,2.0479e-8,0,2.0479e-8,0,7.054e-4,0.013748,43.796,-120.65,9.8008,33.806,0,0,0,34.89,8.605,54.213,0.10325,NaN,2.5071,NaN,0.014525,1.04e6,3090.4,0.13101,0.67346,0.67516,0.47738,0.076045,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2546e-4,0.1397,0.015328,89.99,0,NaN,5.9642,857.25,334.91,2e-3,0.050732
0.092,1.2558e-4,4.1992,79.236,4.1992,79.236,2.1917e-8,0,2.1917e-8,0,7.329e-4,0.013829,43.796,-120.65,9.8008,32.826,0,0,0,34.887,8.6014,54.212,0.10325,NaN,2.507,NaN,0.014922,1068471,3106.4,0.14164,0.67092,0.69156,0.47485,0.076045,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4205e-4,0.1397,0.015328,89.99,0,NaN,5.9642,857.25,334.91,2e-3,0.051505
0.094,1.3413e-4,4.3577,79.702,4.3577,79.702,2.3411e-8,0,2.3411e-8,0,7.6056e-4,0.013911,43.796,-120.65,9.8008,31.891,0,0,0,34.883,8.5978,54.21,0.10324,NaN,2.507,NaN,0.015326,1097387,3122.3,0.15264,0.66843,0.70651,0.47236,0.076045,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5873e-4,0.1397,0.015328,89.99,0,NaN,5.9641,857.25,334.91,2e-3,0.052276
0.096,1.4301e-4,4.5171,80.167,4.5171,80.167,2.496e-8,0,2.496e-8,0,7.8838e-4,0.013992,43.796,-120.65,9.8008,30.999,0,0,0,34.879,8.5942,54.208,0.10324,NaN,2.5069,NaN,0.015736,1126751,3138.2,0.16401,0.66599,0.72009,0.46991,0.076046,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7551e-4,0.1397,0.015328,89.99,0,NaN,5.9641,857.25,334.91,2e-3,0.053121
0.098,1.522e-4,4.6774,80.632,4.6774,80.632,2.6564e-8,0,2.6564e-8,0,8.1637e-4,0.014073,43.796,-120.65,9.8008,30.148,0,0,0,34.876,8.5906,54.206,0.10323,NaN,2.5068,NaN,0.016152,1156546,3154.1,0.17575,0.6636,0.73237,0.46752,0.076046,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9239e-4,0.1397,0.015328,89.99,0,NaN,5.964,857.24,334.91,2e-3,0.053906
0.1,1.6172e-4,4.8387,81.098,4.8387,81.098,2.8225e-8,0,2.8225e-8,0,8.4452e-4,0.014154,43.796,-120.65,9.8008,29.334,0,0,0,34.872,8.587,54.204,0.10323,NaN,2.5067,NaN,0.016574,1186757,3170,0.18785,0.66125,0.74345,0.46517,0.076047,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0937e-4,0.1397,0.015328,89.99,0,NaN,5.9639,857.24,334.91,2e-3,0.054685
0.102,1.7156e-4,5.0009,81.563,5.0009,81.563,2.9943e-8,0,2.9943e-8,0,8.7283e-4,0.014236,43.796,-120.65,9.8008,28.613,0,0,0,34.869,8.5834,54.202,0.10323,NaN,2.5067,NaN,0.017011,1218014,3186,0.20027,0.6589,0.75245,0.46282,0.076047,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2645e-4,0.1397,0.015328,89.99,0,NaN,5.9639,857.24,334.91,2e-3,0.055533
0.104,1.8172e-4,5.1641,82.029,5.1641,82.029,3.1717e-8,0,3.1717e-8,0,9.013e-4,0.014317,43.796,-120.65,9.8008,27.923,0,0,0,34.865,8.5798,54.2,0.10322,NaN,2.5066,NaN,0.017452,1249629,3201.9,0.21306,0.65661,0.76051,0.46052,0.076048,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4362e-4,0.1397,0.015328,89.99,0,NaN,5.9638,857.24,334.91,2e-3,0.05631
0.106,1.9222e-4,5.3281,82.495,5.3281,82.495,3.3548e-8,0,3.3548e-8,0,9.2994e-4,0.014398,43.796,-120.65,9.8008,27.264,0,0,0,34.861,8.5762,54.198,0.10322,NaN,2.5065,NaN,0.017899,1281594,3217.8,0.22621,0.65436,0.76769,0.45827,0.076048,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6089e-4,0.1397,0.015328,89.99,0,NaN,5.9638,857.24,334.91,2e-3,0.057084
0.108,2.0304e-4,5.4932,82.961,5.4932,82.961,3.5437e-8,0,3.5437e-8,0,9.5874e-4,0.014479,43.796,-120.65,9.8008,26.632,0,0,0,34.858,8.5726,54.196,0.10321,NaN,2.5065,NaN,0.01835,1313898,3233.7,0.23973,0.65216,0.77405,0.45607,0.076049,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7826e-4,0.1397,0.015328,89.99,0,NaN,5.9637,857.24,334.91,2e-3,0.057876
0.11,2.1419e-4,5.6591,83.427,5.6591,83.427,3.7383e-8,0,3.7383e-8,0,9.877e-4,0.014561,43.796,-120.65,9.8008,26.028,0,0,0,34.854,8.569,54.194,0.10321,NaN,2.5064,NaN,0.018806,1346532,3249.6,0.25361,0.65001,0.77967,0.45391,0.076049,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9573e-4,0.1397,0.015328,89.99,0,NaN,5.9636,857.24,334.91,2e-3,0.058678
